Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","CC0805KKX7R6BB105","CAP CER 1UF 10V X7R 0805","C1, C2, C3, C4, C5, C6, C7, C8, DC1, DC2, DC3, DC4, DC5, DC6, DC7, DC8","CMP-03422-000182-1","New From Design","Up to date","16","Yageo","CC0805KKX7R6BB105","Volume Production","Newark","68R4879","0.029","0.464"
"","47589-0001","Right Angle Female Type AB Micro USB Connector, 30 V, 1.8 A, -30 to 85 degC, RoHS, Tape and Reel","J1","CMP-2000-05610-1","Released","Up to date","1","Molex","47589-0001","Volume Production","Newark","40P3749","0.536","0.536"
"","B3B-XH-A(LF)(SN)","CONN HEADER VERT 3POS 2.5MM","J1_JSTBreakout1, J1_JSTBreakout2, J1_JSTBreakout3, J1_JSTBreakout4, J1_JSTBreakout5, J1_JSTBreakout6, J1_JSTBreakout7, J1_JSTBreakout8","CMP-17439-000014-2","New From Design","Out of date","8","JST","B3B-XH-A(LF)(SN)","Unknown","Newark","73M9431","0.061","0.488"
"","XT30-F","XT30 Female connector for board mount","J2","CMP-002-00076-4","Draft","Up to date","1","","","","","","",""
"","150080SS75000","SMD mono-color Chip LED, WL-SMCW, Super Red","LED1, LED2, LED3","CMP-1426-00010-1","Released","Out of date","3","Wurth Electronics","150080SS75000","Volume Production","Mouser","710-150080SS75000","0.19","0.57"
"","Header 16X2","Header, 16-Pin, Dual row","P1","","Not managed","","1","","","","","","",""
"","Header 4X2","Header, 4-Pin, Dual row","P2, P3","","Not managed","","2","","","","","","",""
"","Header 6X2","Header, 6-Pin, Dual row","P4, P5","","Not managed","","2","","","","","","",""
"","Header 2","Header, 2-Pin","P6","","Not managed","","1","","","","","","",""
"","MMBT2222ALT1G","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q1, Q2","CMP-1048-00538-1","Released","Up to date","2","ON Semiconductor","MMBT2222ALT1G","Volume Production","Newark","84K8795","0.019","0.038"
"","FDN339AN","MOSFET N-CH 20V 3A SSOT3","Q3","CMP-2000-06252-2","New From Design","Up to date","1","ON Semiconductor / Fairchild","FDN339AN","Volume Production","Newark","34C0138","0.196","0.196"
"","FDN340P","MOSFET P-CH 20V 2A SSOT3","Q4","CMP-2100-03638-2","New From Design","Up to date","1","ON Semiconductor / Fairchild","FDN340P","Volume Production","Newark","58K8841","0.142","0.142"
"","CRCW08050000Z0EA","","R1, R2, R3, R4, R5, R6, R9, R10, R14, R15, R16, R17, R18, R19, R20","CMP-2001-04896-1","Released","Up to date","15","Vishay","CRCW08050000Z0EA","Volume Production","Newark","52K9721","0.006","0.09"
"","CAT16-103J4LF","CAT / CAY 16 Series - Chip Resistor Array, 10 KOhm, +/- 5%, 50 V, -55 to 125 degC, 8-Pin SMD, RoHS, Tape and Reel","R7, R8, R13","CMP-2000-06067-1","Released","Up to date","3","Bourns","CAT16-103J4LF","Volume Production","Digikey","CAT16-103J4LFCT-ND","0.1","0.3"
"","FSMSMTR","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","SW1","CMP-2000-07501-1","Released","Up to date","1","TE Connectivity","FSMSMTR","Unknown","","","",""
"","ESP32-WROVER-B_(16MB)","Generic WiFi-BT-BLE MCU module. Flash memory of 16 MB and PSRAM of 8 MB","U1","CMP-056-0000-3","Draft","Up to date","1","","","","","","",""
"","Teensy 4.0","RT1062 Teensy 4.0 i.MX ARM® Cortex®-M7 MPU Embedded Evaluation Board","U2","CMP-023-0000-2","Draft","Out of date","1","","","","","","",""
"","AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","U4","CMP-12756-000035-1","New From Design","Up to date","1","Diodes","AP2112K-3.3TRG1","Volume Production","Mouser","621-AP2112K-3.3TRG1","0.22","0.22"
"","CP2104-F03-GM","Single-Chip USB to UART Bridge, 4 Dig I/O Pins, Internal Oscillator, 1024 Bytes EEPROM, -40 to 85 degC, 24-pin QFN","U5","CMP-0511-00004-1","Released","Out of date","1","Silicon Labs","CP2104-F03-GM","Volume Production","Arrow Electronics","CP2104-F03-GM","3.18","3.18"
"","SN74HCT245DWR","IC TXRX NON-INVERT 5.5V 20SOIC","U6","CMP-1620-00207-3","New From Design","Up to date","1","Texas Instruments","SN74HCT245DWR","Volume Production","Arrow Electronics","SN74HCT245DWR","0.6118","0.6118"
